average_rating_differences,black_lose_perc,black_win_perc,current_elo,date_of_birth,losses,player_name,total,white_lose_perc,white_win_perc,wins
419.9,0.0,0.3,3844,2000-03-17,167,Shin Jinseo,677,0.0,0.7,510
31.4,0.1,0.3,3610,1996-08-06,263,Fan Tingyu,666,0.1,0.5,403
28.0,0.1,0.3,3605,1995-02-01,216,Li Xuanhao,499,0.1,0.5,283
64.9,0.5,0.3,3642,2000-06-13,117,Ding Hao,285,0.2,0.0,168
51.4,0.4,0.2,3638,1996-01-08,250,Mi Yuting,684,0.1,0.3,434
163.7,0.1,0.5,3643,1997-01-14,203,Byun Sangil,527,0.2,0.2,324
87.7,0.1,0.5,3570,2000-04-10,114,Li Weiqing,258,0.2,0.2,144
61.0,0.4,0.2,3646,1998-03-13,158,Gu Zihao,422,0.3,0.1,264
197.4,0.4,0.1,3668,1993-01-11,322,Park Junghwan,1117,0.1,0.4,795
114.8,0.3,0.2,3715,1997-08-02,207,Ke Jie,715,0.1,0.4,508
32.6,0.2,0.3,3580,1994-06-17,229,Dang Yifei,467,0.2,0.3,238
-7.9,0.2,0.3,3620,1998-10-19,240,Yang Dingxin,597,0.3,0.2,357
48.7,0.5,0.1,3560,1999-11-22,145,Xu Jiayang,357,0.1,0.3,212
200.3,0.0,0.5,3546,2001-04-30,116,Xu Haohong,415,0.0,0.5,299
152.9,0.1,0.5,3556,1997-06-10,234,Ichiriki Ryo,712,0.1,0.3,478
-19.5,0.3,0.2,3547,2000-01-14,144,Xie Ke,336,0.3,0.2,192
55.7,0.3,0.1,3554,1998-02-04,223,Lee Donghoon,552,0.3,0.3,329
-19.0,0.3,0.4,3546,1991-01-15,327,Tuo Jiaxi,831,0.1,0.2,504
-18.9,0.4,0.1,3550,1994-04-08,244,Lian Xiao,626,0.2,0.3,382
-0.3,0.0,0.4,3542,1999-01-11,229,Shin Minjun,537,0.2,0.4,308
28.6,0.4,0.2,3552,1989-05-24,306,Iyama Yuta,994,0.3,0.1,688
83.0,0.1,0.1,3537,1989-06-13,352,Kim Jiseok,946,0.4,0.4,594
-32.9,0.3,0.1,3530,2000-12-20,144,Liao Yuanhe,321,0.4,0.2,177
-7.0,0.1,0.2,3529,1998-10-20,188,Li Qincheng,456,0.4,0.3,268
30.0,0.2,0.5,3528,1992-01-14,260,Peng Liyao,597,0.1,0.2,337
230.6,0.1,0.6,3511,2004-02-02,50,Wang Xinghao,135,0.0,0.3,85
-57.8,0.2,0.2,3518,1999-06-04,170,Zhao Chenyu,364,0.4,0.2,194
